title,difficulty,a,score,b,c,d
FREEDOM DiVE,MAS,15,984423,S,15.0,15.37
Grievous Lady,MAS,14+,989093,S,14.8,15.36
Fracture Ray,MAS,14+,987671,S,14.7,15.20
最終鬼畜妹フランドール・S,MAS,14,992026,S+,14.4,15.08
ナイト・オブ・ナイツ (USAO Remix),MAS,14,993807,S+,14.3,15.05
ラストピースに祝福と栄光を,EXP,14,993029,S+,14.3,15.02
Killing Rhythm,EXP,14,992226,S+,14.3,14.98
Ultimate Force,EXP,14,988787,S,14.4,14.95
To：Be Continued,EXP,14,990291,S+,14.3,14.91
星界ちゃんと可不ちゃんのおつかい合騒曲,MAS,14,989805,S,14.3,14.89
Titania,EXP,13+,1000964,SS,13.8,14.89
サドマミホリック,MAS,14,991852,S+,14.2,14.87
LAMIA,EXP,14,994105,S+,14.1,14.86
Last Celebration,MAS,14+,978976,S,14.7,14.85
DA'AT -The First Seeker of Souls-,EXP,14,988777,S,14.3,14.85
Chaotic Ørder,EXP,14,988710,S,14.3,14.84
レータイスパークEx,MAS,14,991192,S+,14.2,14.84
POTENTIAL,EXP,14,995670,S+,14.0,14.82
リ・フィクション・O,EXP,13+,1000118,SS,13.8,14.81
MEGALOVANIA,MAS,14,995228,S+,14.0,14.80
Joe Fight,MAS,14,985639,S,14.3,14.72
ENERGY SYNERGY MATRIX,MAS,14,988155,S,14.2,14.72
Don't Fight The Music,MAS,14+,971957,AAA,14.9,14.69
蜘蛛の糸,MAS,15,966543,AAA,15.2,14.63
Brain Power,MAS,14,982757,S,14.3,14.61
Opfer,EXP,13+,997778,S+,13.7,14.61
ヒバナ,MAS,13+,996822,S+,13.7,14.57
Arcahv,MAS,14,986625,S,14.1,14.56
What's up? Pop!,EXP,14,986225,S,14.1,14.54
エンドマークに希望と涙を添えて ～イロドリミドリアレンジ～,MAS,13+,993423,S+,13.8,14.53
